index,team,schedule_season,team_year,sec_play_total,sec_play_neutral,sec_play_composite
464,MIA,2007,MIA2007,27.99,31.61,29.8
465,KC,2007,KC2007,28.08,30.78,29.43
466,ARI,2007,ARI2007,28.15,30.47,29.31
467,DEN,2007,DEN2007,28.15,30.67,29.41
468,NYG,2007,NYG2007,28.24,31.98,30.11
469,TEN,2007,TEN2007,28.39,31.92,30.155
470,HOU,2007,HOU2007,28.49,31,29.745
471,GB,2007,GB2007,28.5,31.18,29.84
472,LAC,2007,SD2007,28.58,30.06,29.32
473,MIN,2007,MIN2007,28.74,31.19,29.965
474,NE,2007,NE2007,28.95,29.34,29.145
475,TB,2007,TB2007,29.03,31.7,30.365
476,DAL,2007,DAL2007,29.2,30.92,30.06
477,LV,2007,OAK2007,29.2,32.42,30.81
478,BUF,2007,BUF2007,29.31,32.23,30.77
479,JAX,2007,JAX2007,29.51,30.89,30.2
480,PIT,2007,PIT2007,31.31,33.94,32.625
481,GB,2006,GB2006,26.31,28.01,27.16
482,SEA,2006,SEA2006,26.6,28.35,27.475
483,DET,2006,DET2006,26.71,29.31,28.01
484,CIN,2006,CIN2006,26.82,28.14,27.48
485,MIA,2006,MIA2006,26.98,29.78,28.38
486,TEN,2006,TEN2006,27.04,29.75,28.395
487,IND,2006,IND2006,27.25,29.39,28.32
488,LAR,2006,STL2006,27.32,30.21,28.765
489,TB,2006,TB2006,27.48,31.2,29.34
490,CHI,2006,CHI2006,27.51,27.67,27.59
491,PHI,2006,PHI2006,27.6,29.31,28.455
492,ARI,2006,ARI2006,27.79,30.76,29.275
493,NO,2006,NO2006,27.8,28.89,28.345
494,LV,2006,OAK2006,27.85,30.85,29.35
495,NYG,2006,NYG2006,27.89,30.78,29.335
496,ATL,2006,ATL2006,27.93,29.8,28.865
497,NE,2006,NE2006,27.98,29.46,28.72
498,KC,2006,KC2006,28.28,31.7,29.99
499,PIT,2006,PIT2006,28.35,31.79,30.07
500,DAL,2006,DAL2006,28.52,30.23,29.375
501,NYJ,2006,NYJ2006,28.62,30.9,29.76
502,CAR,2006,CAR2006,28.65,32.22,30.435
503,HOU,2006,HOU2006,28.78,31.21,29.995
504,WAS,2006,WAS2006,28.81,31.56,30.185
505,LAC,2006,SD2006,29.09,30.97,30.03
506,MIN,2006,MIN2006,29.16,32.79,30.975
507,DEN,2006,DEN2006,29.19,30.71,29.95
508,BUF,2006,BUF2006,29.21,31.03,30.12
509,SF,2006,SF2006,29.24,31.95,30.595
510,CLE,2006,CLE2006,29.37,33.44,31.405
511,BAL,2006,BAL2006,30.19,32.66,31.425
512,JAX,2006,JAX2006,30.36,33.59,31.975
513,MIA,2005,MIA2005,24.95,27.73,26.34
514,PHI,2005,PHI2005,26.05,27.95,27
515,LV,2005,OAK2005,26.28,29.45,27.865
516,ARI,2005,ARI2005,26.84,29.86,28.35
517,BAL,2005,BAL2005,27.02,30.76,28.89
